θ_0,θ_1,Population,Price
-3.90,1.19,71.60380412371168,81.79074888867885
-3.90,1.19,71.82239175257766,82.05153128411959
-3.90,1.19,72.04097938144363,82.31231367956033
-3.90,1.19,72.25956701030961,82.57309607500108
-3.90,1.19,72.47815463917559,82.8338784704418
-3.90,1.19,72.69674226804156,83.09466086588255
-3.90,1.19,72.91532989690754,83.35544326132329
-3.90,1.19,73.13391752577351,83.61622565676402
-3.90,1.19,73.35250515463949,83.87700805220476
-3.90,1.19,73.57109278350546,84.1377904476455
-3.90,1.19,73.78968041237144,84.39857284308624
-3.90,1.19,74.00826804123741,84.65935523852697
-3.90,1.19,74.22685567010339,84.92013763396771
-3.90,1.19,74.44544329896937,85.18092002940845
-3.90,1.19,74.66403092783534,85.4417024248492
-3.90,1.19,74.88261855670132,85.70248482028992
-3.90,1.19,75.10120618556729,85.96326721573067
-3.90,1.19,75.31979381443327,86.22404961117141
-3.90,1.19,75.53838144329924,86.48483200661215
-3.90,1.19,75.75696907216522,86.74561440205288
-3.90,1.19,75.9755567010312,87.00639679749362
-3.90,1.19,76.19414432989717,87.26717919293436
-3.90,1.19,76.41273195876315,87.5279615883751
-3.90,1.19,76.63131958762912,87.78874398381583
-3.90,1.19,76.8499072164951,88.04952637925658
-3.90,1.19,77.06849484536107,88.31030877469732
-3.90,1.19,77.28708247422705,88.57109117013806
-3.90,1.19,77.50567010309302,88.83187356557879
-3.90,1.19,77.724257731959,89.09265596101953
-3.90,1.19,77.94284536082498,89.35343835646027
-3.90,1.19,78.16143298969095,89.61422075190102
-3.90,1.19,78.38002061855693,89.87500314734174
-3.90,1.19,78.5986082474229,90.13578554278249
-3.90,1.19,78.81719587628888,90.39656793822323
-3.90,1.19,79.03578350515485,90.65735033366397
-3.90,1.19,79.25437113402083,90.9181327291047
-3.90,1.19,79.4729587628868,91.17891512454544
-3.90,1.19,79.69154639175278,91.43969751998618
-3.90,1.19,79.91013402061876,91.70047991542691
-3.90,1.19,80.12872164948473,91.96126231086765
-3.90,1.19,80.3473092783507,92.2220447063084
-3.90,1.19,80.56589690721668,92.48282710174914
-3.90,1.19,80.78448453608266,92.74360949718987
-3.90,1.19,81.00307216494863,93.00439189263061
-3.90,1.19,81.22165979381461,93.26517428807135
-3.90,1.19,81.44024742268059,93.52595668351209
-3.90,1.19,81.65883505154656,93.78673907895282
-3.90,1.19,81.87742268041254,94.04752147439356
-3.90,1.19,82.09601030927851,94.3083038698343
-3.90,1.19,82.31459793814449,94.56908626527505
-3.90,1.19,82.53318556701046,94.82986866071577
-3.90,1.19,82.75177319587644,95.09065105615652
-3.90,1.19,82.97036082474241,95.35143345159726
-3.90,1.19,83.18894845360839,95.612215847038
-3.90,1.19,83.40753608247437,95.87299824247873
-3.90,1.19,83.62612371134034,96.13378063791947
-3.90,1.19,83.84471134020632,96.39456303336021
-3.90,1.19,84.06329896907229,96.65534542880096
-3.90,1.19,84.28188659793827,96.91612782424168
-3.90,1.19,84.50047422680424,97.17691021968243
-3.90,1.19,84.71906185567022,97.43769261512317
-3.90,1.19,84.9376494845362,97.69847501056391
-3.90,1.19,85.15623711340217,97.95925740600464
-3.90,1.19,85.37482474226815,98.22003980144538
-3.90,1.19,85.59341237113412,98.48082219688612
-3.90,1.19,85.8120000000001,98.74160459232687
-3.90,1.19,86.03058762886607,99.0023869877676
-3.90,1.19,86.24917525773205,99.26316938320834
-3.90,1.19,86.46776288659802,99.52395177864908
-3.90,1.19,86.686350515464,99.7847341740898
-3.90,1.19,86.90493814432998,100.04551656953055
-3.90,1.19,87.12352577319595,100.30629896497129
-3.90,1.19,87.34211340206193,100.56708136041203
-3.90,1.19,87.5607010309279,100.82786375585276
-3.90,1.19,87.77928865979388,101.0886461512935
-3.90,1.19,87.99787628865985,101.34942854673425
-3.90,1.19,88.21646391752583,101.61021094217499
-3.90,1.19,88.4350515463918,101.87099333761572
-3.90,1.19,88.65363917525778,102.13177573305646
-3.90,1.19,88.87222680412376,102.3925581284972
-3.90,1.19,89.09081443298973,102.65334052393794
-3.90,1.19,89.3094020618557,102.91412291937867
-3.90,1.19,89.52798969072168,103.17490531481941
-3.90,1.19,89.74657731958766,103.43568771026015
-3.90,1.19,89.96516494845363,103.6964701057009
-3.90,1.19,90.18375257731961,103.95725250114162
-3.90,1.19,90.40234020618558,104.21803489658237
-3.90,1.19,90.62092783505156,104.47881729202311
-3.90,1.19,90.83951546391754,104.73959968746385
-3.90,1.19,91.05810309278351,105.00038208290458
-3.90,1.19,91.27669072164949,105.26116447834532
-3.90,1.19,91.49527835051546,105.52194687378606
-3.90,1.19,91.71386597938144,105.7827292692268
-3.90,1.19,91.93245360824741,106.04351166466753
-3.90,1.19,92.15104123711339,106.30429406010828
-3.90,1.19,92.36962886597937,106.56507645554902
-3.90,1.19,92.58821649484534,106.82585885098976
-3.90,1.19,92.80680412371132,107.08664124643049
-3.90,1.19,93.02539175257729,107.34742364187123
-3.90,1.19,93.24397938144327,107.60820603731197
-3.90,1.19,93.46256701030924,107.8689884327527
-3.90,1.19,93.68115463917522,108.12977082819344
-3.90,1.19,93.8997422680412,108.39055322363419
-3.90,1.19,94.11832989690717,108.65133561907493
-3.90,1.19,94.33691752577315,108.91211801451566
-3.90,1.19,94.55550515463912,109.1729004099564
-3.90,1.19,94.7740927835051,109.43368280539714
-3.90,1.19,94.99268041237107,109.69446520083788
-3.90,1.19,95.21126804123705,109.95524759627861
-3.90,1.19,95.42985567010302,110.21602999171935
-3.90,1.19,95.648443298969,110.4768123871601
-3.90,1.19,95.86703092783497,110.73759478260084
-3.90,1.19,96.08561855670095,110.99837717804157
-3.90,1.19,96.30420618556693,111.25915957348231
-3.90,1.19,96.5227938144329,111.51994196892305
-3.90,1.19,96.74138144329888,111.78072436436379
-3.90,1.19,96.95996907216485,112.04150675980452
-3.90,1.19,97.17855670103083,112.30228915524526
-3.90,1.19,97.3971443298968,112.563071550686
-3.90,1.19,97.61573195876278,112.82385394612675
-3.90,1.19,97.83431958762876,113.08463634156747
-3.90,1.19,98.05290721649473,113.34541873700822
-3.90,1.19,98.2714948453607,113.60620113244896
-3.90,1.19,98.49008247422668,113.8669835278897
-3.90,1.19,98.70867010309266,114.12776592333043
-3.90,1.19,98.92725773195863,114.38854831877117
-3.90,1.19,99.14584536082461,114.64933071421191
-3.90,1.19,99.36443298969058,114.91011310965266
-3.90,1.19,99.58302061855656,115.17089550509338
-3.90,1.19,99.80160824742254,115.43167790053413
-3.90,1.19,100.02019587628851,115.69246029597487
-3.90,1.19,100.23878350515449,115.9532426914156
-3.90,1.19,100.45737113402046,116.21402508685634
-3.90,1.19,100.67595876288644,116.47480748229708
-3.90,1.19,100.89454639175241,116.73558987773782
-3.90,1.19,101.11313402061839,116.99637227317855
-3.90,1.19,101.33172164948436,117.2571546686193
-3.90,1.19,101.55030927835034,117.51793706406004
-3.90,1.19,101.76889690721632,117.77871945950078
-3.90,1.19,101.98748453608229,118.0395018549415
-3.90,1.19,102.20607216494827,118.30028425038225
-3.90,1.19,102.42465979381424,118.56106664582299
-3.90,1.19,102.64324742268022,118.82184904126373
-3.90,1.19,102.8618350515462,119.08263143670446
-3.90,1.19,103.08042268041217,119.3434138321452
-3.90,1.19,103.29901030927815,119.60419622758594
-3.90,1.19,103.51759793814412,119.86497862302669
-3.90,1.19,103.7361855670101,120.12576101846741
-3.90,1.19,103.95477319587607,120.38654341390816
-3.90,1.19,104.17336082474205,120.6473258093489
-3.90,1.19,104.39194845360802,120.90810820478964
